year,areakm,municipality,geocode_ibge,state
2000,42.51508404219654,Afonso Cunha,2100105,Maranhão
2001,1.6875090912700392,Afonso Cunha,2100105,Maranhão
2002,1.6875090912700392,Afonso Cunha,2100105,Maranhão
2003,3.9228758974381486,Afonso Cunha,2100105,Maranhão
2004,3.9228758974381486,Afonso Cunha,2100105,Maranhão
2005,1.3557886821211846,Afonso Cunha,2100105,Maranhão
2006,1.3557886821211846,Afonso Cunha,2100105,Maranhão
2007,3.786717002113587,Afonso Cunha,2100105,Maranhão
2008,3.786717002113587,Afonso Cunha,2100105,Maranhão
2009,1.8024462602730478,Afonso Cunha,2100105,Maranhão
2010,1.8024462602730478,Afonso Cunha,2100105,Maranhão
2011,0.9661012019557904,Afonso Cunha,2100105,Maranhão
2012,0.9661012019557904,Afonso Cunha,2100105,Maranhão
2013,0.5997970689410261,Afonso Cunha,2100105,Maranhão
2014,0.9845613947577995,Afonso Cunha,2100105,Maranhão
2015,8.254625441319916,Afonso Cunha,2100105,Maranhão
2016,5.729277017746802,Afonso Cunha,2100105,Maranhão
2017,18.178811465899834,Afonso Cunha,2100105,Maranhão
2018,6.627576683644623,Afonso Cunha,2100105,Maranhão
2019,8.303116415071587,Afonso Cunha,2100105,Maranhão
2020,7.185932135176018,Afonso Cunha,2100105,Maranhão
2021,3.2965968214783046,Afonso Cunha,2100105,Maranhão
2022,2.7472466652522507,Afonso Cunha,2100105,Maranhão
2023,4.186628069615927,Afonso Cunha,2100105,Maranhão
2024,1.805950433226745,Afonso Cunha,2100105,Maranhão
2000,93.31173863510386,Aldeias Altas,2100303,Maranhão
2001,14.06889242414226,Aldeias Altas,2100303,Maranhão
2002,14.06889242414226,Aldeias Altas,2100303,Maranhão
2003,24.52866437922931,Aldeias Altas,2100303,Maranhão
2004,24.52866437922931,Aldeias Altas,2100303,Maranhão
2005,25.203367396706284,Aldeias Altas,2100303,Maranhão
2006,25.203367396706284,Aldeias Altas,2100303,Maranhão
2007,43.6364358074055,Aldeias Altas,2100303,Maranhão
2008,43.6364358074055,Aldeias Altas,2100303,Maranhão
2009,26.18769596422421,Aldeias Altas,2100303,Maranhão
2010,26.18769596422421,Aldeias Altas,2100303,Maranhão
2011,5.779605922091382,Aldeias Altas,2100303,Maranhão
2012,5.779605922091382,Aldeias Altas,2100303,Maranhão
2013,2.3631021457531003,Aldeias Altas,2100303,Maranhão
2014,8.372906329609922,Aldeias Altas,2100303,Maranhão
2015,9.312876768864877,Aldeias Altas,2100303,Maranhão
2016,3.4972527727680975,Aldeias Altas,2100303,Maranhão
2017,6.9841614712928575,Aldeias Altas,2100303,Maranhão
2018,8.742853534837725,Aldeias Altas,2100303,Maranhão
2019,12.293774220594791,Aldeias Altas,2100303,Maranhão
2020,11.907539152210163,Aldeias Altas,2100303,Maranhão
2021,85.20353136318691,Aldeias Altas,2100303,Maranhão
2022,99.131739661938,Aldeias Altas,2100303,Maranhão
2023,54.036724158642784,Aldeias Altas,2100303,Maranhão
2024,48.13041370289921,Aldeias Altas,2100303,Maranhão
2000,278.66852068932945,Alto Alegre do Maranhão,2100436,Maranhão
2001,4.362172975623236,Alto Alegre do Maranhão,2100436,Maranhão
2002,4.362172975623236,Alto Alegre do Maranhão,2100436,Maranhão
2003,8.383284454008871,Alto Alegre do Maranhão,2100436,Maranhão
2004,8.383284454008871,Alto Alegre do Maranhão,2100436,Maranhão
2005,3.1973579988637293,Alto Alegre do Maranhão,2100436,Maranhão
2006,3.1973579988637293,Alto Alegre do Maranhão,2100436,Maranhão
2007,4.3557610443871395,Alto Alegre do Maranhão,2100436,Maranhão
2008,4.3557610443871395,Alto Alegre do Maranhão,2100436,Maranhão
